"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Andhra Pradesh","Kurnool","Pattikonda","Tomato","Local","23/04/2020","700","1000","800"
"Gujarat","Dahod","Dahod(Veg. Market)","Bhindi(Ladies Finger)","Bhindi","23/04/2020","1000","2000","1800"
"Gujarat","Dahod","Dahod(Veg. Market)","Bitter gourd","Bitter Gourd","23/04/2020","1000","2200","1600"
"Gujarat","Dahod","Dahod(Veg. Market)","Bottle gourd","Bottle Gourd","23/04/2020","500","1300","1000"
"Gujarat","Dahod","Dahod(Veg. Market)","Brinjal","Brinjal","23/04/2020","500","1200","700"
"Gujarat","Dahod","Dahod(Veg. Market)","Cabbage","Cabbage","23/04/2020","300","800","500"
"Gujarat","Dahod","Dahod(Veg. Market)","Cauliflower","Cauliflower","23/04/2020","600","1800","1300"
"Gujarat","Dahod","Dahod(Veg. Market)","Coriander(Leaves)","Coriander","23/04/2020","1000","2000","1500"
"Gujarat","Dahod","Dahod(Veg. Market)","Cucumbar(Kheera)","Cucumbar","23/04/2020","800","1500","1100"
"Gujarat","Dahod","Dahod(Veg. Market)","Drumstick","Other","23/04/2020","1800","2500","2000"
"Gujarat","Dahod","Dahod(Veg. Market)","Garlic","Other","23/04/2020","5000","8000","7000"
"Gujarat","Dahod","Dahod(Veg. Market)","Ginger(Green)","Green Ginger","23/04/2020","5000","6000","5500"
"Gujarat","Dahod","Dahod(Veg. Market)","Green Chilli","Green Chilly","23/04/2020","1000","1600","1300"
"Gujarat","Dahod","Dahod(Veg. Market)","Lemon","Other","23/04/2020","3000","6000","5000"
"Gujarat","Dahod","Dahod(Veg. Market)","Little gourd (Kundru)","Other","23/04/2020","1200","2500","1800"
"Gujarat","Dahod","Dahod(Veg. Market)","Mint(Pudina)","Mint(Pudina)","23/04/2020","1000","3000","2000"
"Gujarat","Dahod","Dahod(Veg. Market)","Onion","Onion","23/04/2020","800","1200","1000"
"Gujarat","Dahod","Dahod(Veg. Market)","Onion Green","Onion Green","23/04/2020","1000","1500","1200"
"Gujarat","Dahod","Dahod(Veg. Market)","Potato","Potato","23/04/2020","1500","1900","1700"
"Gujarat","Dahod","Dahod(Veg. Market)","Tomato","Tomato","23/04/2020","300","800","500"
"Gujarat","Narmada","Rajpipla","Banana","Other","23/04/2020","400","800","600"
"Haryana","Kurukshetra","Pehowa","Banana","Other","23/04/2020","2300","2300","2300"
"Haryana","Kurukshetra","Pehowa","Cabbage","Other","23/04/2020","600","600","600"
"Haryana","Kurukshetra","Pehowa","Papaya","Other","23/04/2020","1600","1600","1600"
"Haryana","Kurukshetra","Pehowa","Potato","Other","23/04/2020","600","1200","1200"
"Haryana","Kurukshetra","Pehowa","Tomato","Other","23/04/2020","1600","1600","1600"
"Himachal Pradesh","Bilaspur","Bilaspur","Apple","Other","23/04/2020","9000","12000","11000"
"Himachal Pradesh","Bilaspur","Bilaspur","Banana","Other","23/04/2020","2300","2800","2400"
"Himachal Pradesh","Bilaspur","Bilaspur","Bottle gourd","Other","23/04/2020","1300","1500","1400"
"Himachal Pradesh","Bilaspur","Bilaspur","Capsicum","Other","23/04/2020","1500","1800","1600"
"Himachal Pradesh","Bilaspur","Bilaspur","Cauliflower","Other","23/04/2020","1000","1400","1200"
"Himachal Pradesh","Bilaspur","Bilaspur","Cucumbar(Kheera)","Other","23/04/2020","800","1000","900"
"Himachal Pradesh","Bilaspur","Bilaspur","Grapes","Other","23/04/2020","4000","7000","5000"
"Himachal Pradesh","Bilaspur","Bilaspur","Green Chilli","Other","23/04/2020","3000","3500","3200"
"Himachal Pradesh","Bilaspur","Bilaspur","Kinnow","Other","23/04/2020","3200","3500","3400"
"Himachal Pradesh","Bilaspur","Bilaspur","Onion","Other","23/04/2020","1500","1600","1600"
"Himachal Pradesh","Bilaspur","Bilaspur","Orange","Other","23/04/2020","4500","5000","5000"
"Himachal Pradesh","Bilaspur","Bilaspur","Papaya","Other","23/04/2020","3500","4000","4000"
"Himachal Pradesh","Bilaspur","Bilaspur","Peas cod","Other","23/04/2020","2500","3100","3000"
"Himachal Pradesh","Bilaspur","Bilaspur","Potato","Other","23/04/2020","1600","1700","1700"
"Himachal Pradesh","Bilaspur","Bilaspur","Tomato","Other","23/04/2020","2000","2400","2100"
"Himachal Pradesh","Kangra","Kangra","Apple","Other","23/04/2020","8000","9000","8500"
"Himachal Pradesh","Kangra","Kangra","Banana","Other","23/04/2020","3000","4000","3500"
"Himachal Pradesh","Kangra","Kangra","Bhindi(Ladies Finger)","Other","23/04/2020","4200","4500","4350"
"Himachal Pradesh","Kangra","Kangra","Bottle gourd","Other","23/04/2020","1200","1500","1350"
"Himachal Pradesh","Kangra","Kangra","Cabbage","Other","23/04/2020","600","700","650"
"Himachal Pradesh","Kangra","Kangra","Capsicum","Other","23/04/2020","1700","1800","1750"
"Himachal Pradesh","Kangra","Kangra","Cauliflower","Other","23/04/2020","1200","1500","1350"
"Himachal Pradesh","Kangra","Kangra","Cucumbar(Kheera)","Other","23/04/2020","800","1000","900"
"Himachal Pradesh","Kangra","Kangra","Ginger(Green)","Other","23/04/2020","8000","9000","8500"
"Himachal Pradesh","Kangra","Kangra","Green Chilli","Other","23/04/2020","3500","4000","3750"
"Himachal Pradesh","Kangra","Kangra","Kinnow","Other","23/04/2020","3000","3500","3250"
"Himachal Pradesh","Kangra","Kangra","Lemon","Other","23/04/2020","8000","9000","8500"
"Himachal Pradesh","Kangra","Kangra","Onion","Other","23/04/2020","1700","1800","1750"
"Himachal Pradesh","Kangra","Kangra","Papaya","Other","23/04/2020","3500","3600","3550"
"Himachal Pradesh","Kangra","Kangra","Pineapple","Other","23/04/2020","4000","4200","4100"
"Himachal Pradesh","Kangra","Kangra","Pomegranate","Other","23/04/2020","6000","7000","6500"
"Himachal Pradesh","Kangra","Kangra","Potato","Other","23/04/2020","1500","1600","1550"
"Himachal Pradesh","Kangra","Kangra","Tomato","Other","23/04/2020","1800","1900","1850"
"Himachal Pradesh","Kangra","Kangra(Baijnath)","Capsicum","Capsicum","23/04/2020","1600","2000","1800"
"Himachal Pradesh","Kangra","Kangra(Baijnath)","Pumpkin","Other","23/04/2020","1000","1600","1200"
"Himachal Pradesh","Kangra","Kangra(Baijnath)","Raddish","Other","23/04/2020","1000","1400","1200"
"Himachal Pradesh","Kangra","Kangra(Baijnath)","Spinach","Other","23/04/2020","2000","2000","2000"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Apple","Other","23/04/2020","6000","10000","8000"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Banana","Other","23/04/2020","2800","3200","3000"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Bhindi(Ladies Finger)","Other","23/04/2020","4500","5500","5000"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Bitter gourd","Other","23/04/2020","5000","5500","5250"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Bottle gourd","Other","23/04/2020","1000","1400","1200"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Brinjal","Other","23/04/2020","1500","2000","1750"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Cabbage","Other","23/04/2020","800","1200","1000"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Capsicum","Other","23/04/2020","1500","1700","1600"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Cauliflower","Other","23/04/2020","800","1200","1000"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Coriander(Leaves)","Other","23/04/2020","3000","4000","3500"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Cucumbar(Kheera)","Other","23/04/2020","500","1200","850"
"Himachal Pradesh","Kangra","Kangra(Jassour)","French Beans (Frasbean)","Other","23/04/2020","2500","3000","2750"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Garlic","Other","23/04/2020","9500","10000","9750"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Ginger(Green)","Other","23/04/2020","9500","10000","9750"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Grapes","Other","23/04/2020","4500","6500","5500"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Green Chilli","Other","23/04/2020","2500","3500","3000"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Kinnow","Other","23/04/2020","1500","2500","2000"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Lemon","Other","23/04/2020","7000","8000","7500"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Mango","Other","23/04/2020","8000","10000","9000"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Mashrooms","Other","23/04/2020","8000","10000","9000"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Mousambi(Sweet Lime)","Other","23/04/2020","5000","6000","5500"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Onion","Other","23/04/2020","1500","1800","1650"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Orange","Other","23/04/2020","5500","6500","6000"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Papaya","Other","23/04/2020","3500","4000","3750"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Peas cod","Other","23/04/2020","2500","3000","2750"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Pineapple","Other","23/04/2020","2800","3000","2900"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Pomegranate","Other","23/04/2020","7500","10000","8500"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Potato","Other","23/04/2020","1600","1800","1700"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Pumpkin","Other","23/04/2020","800","1000","900"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Raddish","Other","23/04/2020","1000","1500","1250"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Spinach","Other","23/04/2020","1000","1400","1200"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Tomato","Other","23/04/2020","1800","2400","2100"
"Himachal Pradesh","Kangra","Kangra(Jassour)","Water Melon","Other","23/04/2020","1400","1800","1600"
"Karnataka","Bangalore","Doddaballa Pur","Banana - Green","Banana - Green","23/04/2020","2000","3000","2400"
"Karnataka","Bangalore","Doddaballa Pur","Beans","Beans (Whole)","23/04/2020","3200","4000","3600"
"Karnataka","Bangalore","Doddaballa Pur","Beetroot","Beetroot","23/04/2020","1000","1600","1300"
"Karnataka","Bangalore","Doddaballa Pur","Bhindi(Ladies Finger)","Bhindi","23/04/2020","1800","2400","2000"
"Karnataka","Bangalore","Doddaballa Pur","Bitter gourd","Bitter Gourd","23/04/2020","2800","3200","3000"
"Karnataka","Bangalore","Doddaballa Pur","Brinjal","Brinjal","23/04/2020","1800","2400","2000"
"Karnataka","Bangalore","Doddaballa Pur","Capsicum","Capsicum","23/04/2020","1000","2000","1500"
"Karnataka","Bangalore","Doddaballa Pur","Carrot","Other","23/04/2020","1000","1600","1200"
"Karnataka","Bangalore","Doddaballa Pur","Cauliflower","Cauliflower","23/04/2020","1000","1400","1200"
"Karnataka","Bangalore","Doddaballa Pur","Chapparad Avare","Chapparada Avarekai","23/04/2020","2200","3000","2600"
"Karnataka","Bangalore","Doddaballa Pur","Cucumbar(Kheera)","Cucumbar","23/04/2020","400","600","500"
"Karnataka","Bangalore","Doddaballa Pur","Garlic","Other","23/04/2020","8000","12000","10000"
"Karnataka","Bangalore","Doddaballa Pur","Green Chilli","Green Chilly","23/04/2020","2500","4000","3100"
"Karnataka","Bangalore","Doddaballa Pur","Knool Khol","Knool Khol","23/04/2020","1800","2400","2000"
"Karnataka","Bangalore","Doddaballa Pur","Onion","Onion","23/04/2020","1200","2000","1500"
"Karnataka","Bangalore","Doddaballa Pur","Potato","Local","23/04/2020","1800","2400","2100"
"Karnataka","Bangalore","Doddaballa Pur","Raddish","Raddish","23/04/2020","1500","2500","2100"
"Karnataka","Bangalore","Doddaballa Pur","Ridgeguard(Tori)","Ridgeguard(Tori)","23/04/2020","2000","2600","2300"
"Karnataka","Bangalore","Doddaballa Pur","Tomato","Tomato","23/04/2020","500","1000","650"
"Karnataka","Bangalore","Kanakapura","Tomato","Hybrid","23/04/2020","400","700","600"
"Karnataka","Bangalore","Ramanagara","Banana","Other","23/04/2020","1900","2500","2000"
"Karnataka","Bangalore","Ramanagara","Beans","Beans (Whole)","23/04/2020","4000","5600","5000"
"Karnataka","Bangalore","Ramanagara","Beetroot","Beetroot","23/04/2020","1400","1800","1600"
"Karnataka","Bangalore","Ramanagara","Bhindi(Ladies Finger)","Bhindi","23/04/2020","2400","3200","2800"
"Karnataka","Bangalore","Ramanagara","Bitter gourd","Bitter Gourd","23/04/2020","4400","4800","4600"
"Karnataka","Bangalore","Ramanagara","Brinjal","Brinjal","23/04/2020","1200","2000","1600"
"Karnataka","Bangalore","Ramanagara","Brinjal","Round","23/04/2020","1200","1600","1400"
"Karnataka","Bangalore","Ramanagara","Cabbage","Cabbage","23/04/2020","200","400","300"
"Karnataka","Bangalore","Ramanagara","Capsicum","Capsicum","23/04/2020","1600","2000","1800"
"Karnataka","Bangalore","Ramanagara","Carrot","Carrot","23/04/2020","1600","2000","1800"
"Karnataka","Bangalore","Ramanagara","Cauliflower","Cauliflower","23/04/2020","1800","2000","1900"
"Karnataka","Bangalore","Ramanagara","Chilly Capsicum","Chilly Capsicum","23/04/2020","1400","1600","1500"
"Karnataka","Bangalore","Ramanagara","Cucumbar(Kheera)","Cucumbar","23/04/2020","1400","1600","1500"
"Karnataka","Bangalore","Ramanagara","Drumstick","Drumstick","23/04/2020","3200","4000","3600"
"Karnataka","Bangalore","Ramanagara","Ginger(Green)","Green Ginger","23/04/2020","4000","4800","4400"
"Karnataka","Bangalore","Ramanagara","Green Chilli","Green Chilly","23/04/2020","1000","1600","1300"
"Karnataka","Bangalore","Ramanagara","Knool Khol","Knool Khol","23/04/2020","2000","2400","2200"
"Karnataka","Bangalore","Ramanagara","Lime","Lime","23/04/2020","2500","3500","3000"
"Karnataka","Bangalore","Ramanagara","Onion","Other","23/04/2020","800","1400","1100"
"Karnataka","Bangalore","Ramanagara","Potato","Potato","23/04/2020","2000","2500","2300"
"Karnataka","Bangalore","Ramanagara","Raddish","Raddish","23/04/2020","1200","2000","1600"
"Karnataka","Bangalore","Ramanagara","Ridgeguard(Tori)","Ridgeguard(Tori)","23/04/2020","3200","3800","3500"
"Karnataka","Bangalore","Ramanagara","Seemebadnekai","Seemebadanekai","23/04/2020","1800","2200","2000"
"Karnataka","Bangalore","Ramanagara","Snakeguard","Snakeguard","23/04/2020","1400","1800","1600"
"Karnataka","Bangalore","Ramanagara","Suvarna Gadde","Suvarnagadde","23/04/2020","1800","2000","1900"
"Karnataka","Bangalore","Ramanagara","Sweet Pumpkin","Sweet Pumpkin","23/04/2020","400","600","500"
"Karnataka","Bangalore","Ramanagara","Thondekai","Thondekai","23/04/2020","1200","1600","1400"
"Karnataka","Bangalore","Ramanagara","Tomato","Tomato","23/04/2020","400","600","500"
"Karnataka","Bangalore","Ramanagara","Water Melon","Water Melon","23/04/2020","1000","1400","1200"
"Karnataka","Belgaum","Soundati","Arhar Dal(Tur Dal)","Arhar Dal(Tur)","23/04/2020","6800","6800","6800"
"Karnataka","Belgaum","Soundati","Bengal Gram(Gram)(Whole)","Average (Whole)","23/04/2020","3700","4000","3890"
"Karnataka","Belgaum","Soundati","Cotton","GCH","23/04/2020","3100","3100","3100"
"Karnataka","Belgaum","Soundati","Maize","Local","23/04/2020","1250","1600","1400"
"Karnataka","Bellary","Bellary","Beetroot","Beetroot","23/04/2020","800","1000","950"
"Karnataka","Bellary","Bellary","Bhindi(Ladies Finger)","Bhindi","23/04/2020","800","1000","900"
"Karnataka","Bellary","Bellary","Brinjal","Round","23/04/2020","600","700","650"
"Karnataka","Bellary","Bellary","Cabbage","Cabbage","23/04/2020","500","600","550"
"Karnataka","Bellary","Bellary","Capsicum","Capsicum","23/04/2020","2000","2500","2300"
"Karnataka","Bellary","Bellary","Carrot","Pusakesar","23/04/2020","1000","2000","1700"
"Karnataka","Bellary","Bellary","Cauliflower","Local","23/04/2020","1000","1200","1100"
"Karnataka","Bellary","Bellary","Cucumbar(Kheera)","Cucumbar","23/04/2020","2000","2500","2300"
"Karnataka","Bellary","Bellary","Onion","Onion","23/04/2020","500","1100","800"
"Karnataka","Bellary","Bellary","Potato","Potato","23/04/2020","1500","2200","1900"
"Karnataka","Bellary","Bellary","Raddish","Raddish","23/04/2020","2000","2500","2300"
"Karnataka","Bellary","Bellary","Tomato","Hybrid","23/04/2020","800","1000","900"
"Karnataka","Bellary","H.B. Halli","Black Gram (Urd Beans)(Whole)","Black Gram (Whole)","23/04/2020","6000","6900","6900"
"Karnataka","Bellary","H.B. Halli","Cowpea (Lobia/Karamani)","Cowpea (Whole)","23/04/2020","6000","6000","6000"
"Karnataka","Bellary","H.B. Halli","Groundnut","Gejje","23/04/2020","4700","5600","5350"
"Karnataka","Bellary","H.B. Halli","Maize","Hybrid/Local","23/04/2020","1400","1400","1400"
"Karnataka","Bellary","H.B. Halli","Paddy(Dhan)(Common)","Sona","23/04/2020","1600","1750","1640"
"Karnataka","Haveri","Hanagal","Maize","Local","23/04/2020","1200","1500","1254"
"Karnataka","Haveri","Hanagal","Paddy(Dhan)(Common)","Paddy","23/04/2020","1500","1900","1702"
"Karnataka","Mandya","Srirangapattana","Gur(Jaggery)","Kurikatu","23/04/2020","2750","3500","3200"
"Karnataka","Mysore","K.R.Nagar","Carrot","Carrot","23/04/2020","2000","2000","2000"
"Karnataka","Mysore","K.R.Nagar","Green Chilli","Green Chilly","23/04/2020","1000","1000","1000"
